date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:26:23	20/20	---M-Z	200	added ('OK')	text/plain	date:Thu,%2013%20Jun%202024%2010:26:24%20GMT	https://az-ankara.webflow.io/robots.txt		(from )
13:26:24	96002/96002	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202024%2010:26:25%20GMT	https://az-ankara.webflow.io/	C:/My%20Web%20Sites/Ankara/az-ankara.webflow.io/index.html	(from )
13:26:26	227172/227172	---M-Z	200	added ('OK')	text/css	etag:%22d8e11cd43d1e2358c89f1c2d47ed7398%22	https://assets-global.website-files.com/65293f1198babfd4b2f7525b/css/az-ankara.webflow.e740ca81f.css	C:/My%20Web%20Sites/Ankara/assets-global.website-files.com/65293f1198babfd4b2f7525b/css/az-ankara.webflow.e740ca81f.css	(from https://az-ankara.webflow.io/)
13:26:27	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/Ankara/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://az-ankara.webflow.io/)
13:26:27	14964/14964	---M--	200	added ('OK')	image/jpeg	etag:%2287ebb6121fd7705cf28fedc87d55f551%22	https://assets-global.website-files.com/65293f1198babfd4b2f7525b/65294010b420e80c7262c226_Web%20Clip.jpg	C:/My%20Web%20Sites/Ankara/assets-global.website-files.com/65293f1198babfd4b2f7525b/65294010b420e80c7262c226_Web%20Clip.jpg	(from https://az-ankara.webflow.io/)
13:26:29	143235/143235	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202024%2010:26:29%20GMT	https://az-ankara.webflow.io/home	C:/My%20Web%20Sites/Ankara/az-ankara.webflow.io/home.html	(from https://az-ankara.webflow.io/)
13:26:29	110328/110328	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202024%2010:26:30%20GMT	https://az-ankara.webflow.io/features	C:/My%20Web%20Sites/Ankara/az-ankara.webflow.io/features.html	(from https://az-ankara.webflow.io/)
13:26:31	93171/93171	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202024%2010:26:31%20GMT	https://az-ankara.webflow.io/about	C:/My%20Web%20Sites/Ankara/az-ankara.webflow.io/about.html	(from https://az-ankara.webflow.io/)
13:26:31	68119/68119	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202024%2010:26:32%20GMT	https://az-ankara.webflow.io/blog	C:/My%20Web%20Sites/Ankara/az-ankara.webflow.io/blog.html	(from https://az-ankara.webflow.io/)
13:26:32	76364/76364	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202024%2010:26:32%20GMT	https://az-ankara.webflow.io/shop	C:/My%20Web%20Sites/Ankara/az-ankara.webflow.io/shop.html	(from https://az-ankara.webflow.io/)
